ID,PRODUCT_ID_IN,PRODUCT_ID_OUT,WORKER_ID,BASKET_ID,WEIGHT_IN,WEIGHT_OUT,DATE,TIME_IN,TIME_OUT,DINH_MUC,TRANGTHAI
439075,01,01,SC032,,5.034,3.528,2020-03-14,04:57:12,05:50:31,1.427,0
439076,01,01,SC030,,5.063,3.485,2020-03-14,04:57:20,05:51:12,1.453,0
439077,01,01,SC049,,5.007,3.482,2020-03-14,04:57:55,05:50:14,1.438,0
439078,01,01,SC119,,5.115,3.677,2020-03-14,04:58:00,05:52:07,1.391,0
439079,01,01,HVSC054,,5.184,3.454,2020-03-14,05:00:24,06:15:24,1.501,0
439080,01,01,SC520,,5.044,3.460,2020-03-14,05:00:36,05:51:55,1.458,0
439081,01,01,SC122,,5.017,3.439,2020-03-14,05:00:43,06:03:23,1.459,0
439082,01,01,BK014,,5.041,3.324,2020-03-14,05:01:02,06:03:30,1.517,0
439083,01,01,SC140,,5.011,3.482,2020-03-14,05:01:28,06:07:38,1.439,0
439084,01,01,HVSC035,,5.026,3.346,2020-03-14,05:01:41,05:52:31,1.502,0
439085,01,01,BK020,,5.047,3.441,2020-03-14,05:02:15,05:51:05,1.467,0
439086,01,01,HVSC101,,5.280,3.265,2020-03-14,05:02:42,05:52:54,1.617,0
439087,01,01,XKI_037,,5.039,3.338,2020-03-14,05:02:45,05:50:55,1.510,0
439088,01,01,SC210,,5.033,3.379,2020-03-14,05:02:52,05:51:24,1.489,0
439089,01,01,SC006,,5.031,3.386,2020-03-14,05:03:14,05:52:20,1.486,0
439090,01,01,SC618,,5.052,3.455,2020-03-14,05:03:18,06:05:17,1.462,0
439091,01,01,SC602,,5.035,3.386,2020-03-14,05:03:55,06:01:34,1.487,0
439092,01,01,SC088,,4.989,3.361,2020-03-14,05:04:31,05:50:07,1.484,0
439093,01,01,SC202,,5.035,3.508,2020-03-14,05:05:08,05:50:25,1.435,0
439094,01,01,PV006,,5.065,3.294,2020-03-14,05:05:18,05:55:00,1.538,0
439095,01,01,SC405,,5.072,3.346,2020-03-14,05:05:43,05:55:08,1.516,0
439096,01,01,SC036,,5.062,3.401,2020-03-14,05:05:58,06:00:43,1.488,0
