ID,PRODUCT_ID_IN,PRODUCT_ID_OUT,WORKER_ID,BASKET_ID,WEIGHT_IN,WEIGHT_OUT,DATE,TIME_IN,TIME_OUT,DINH_MUC,TRANGTHAI
439275,01,01,HVSC087,,5.011,3.323,2020-03-14,05:42:28,06:22:25,1.508,0
439276,01,01,HVSC009,,5.059,3.361,2020-03-14,05:42:35,06:25:37,1.505,0
439277,01,01,SC125,,5.047,3.329,2020-03-14,05:42:47,06:17:16,1.516,0
439278,01,01,SC262,,5.060,3.544,2020-03-14,05:42:54,06:24:10,1.428,0
439279,01,01,HVSC241,,5.057,3.299,2020-03-14,05:43:00,06:22:52,1.533,0
439280,01,01,T0_049,,5.044,3.387,2020-03-14,05:43:18,06:22:44,1.489,0
439281,01,01,HVSC259,,5.045,3.450,2020-03-14,05:43:50,06:06:35,1.462,0
439282,01,01,HVSC019,,5.082,3.355,2020-03-14,05:43:58,06:15:54,1.515,0
439283,01,01,SC175,,5.048,3.378,2020-03-14,05:44:17,06:18:53,1.494,0
439284,01,01,SC022,,5.047,3.373,2020-03-14,05:44:36,06:15:34,1.496,0
439285,01,01,HVSC014,,5.047,3.322,2020-03-14,05:44:48,06:24:22,1.519,0
439286,01,01,SC105,,5.041,3.258,2020-03-14,05:44:51,06:18:48,1.547,0
439287,01,01,HVSC070,,5.084,3.417,2020-03-14,05:44:58,06:18:41,1.488,0
439288,01,01,HVSC156,,5.049,3.357,2020-03-14,05:45:17,06:16:12,1.504,0
439289,01,01,SC091,,5.066,3.435,2020-03-14,05:45:33,06:19:01,1.475,0
439290,01,01,SC086,,5.036,3.437,2020-03-14,05:45:42,06:16:00,1.465,0
439291,01,01,SC456,,5.051,3.475,2020-03-14,05:45:48,06:16:27,1.454,0
439292,01,01,SC026,,5.004,3.368,2020-03-14,05:45:57,06:25:43,1.486,0
439293,01,01,SC065,,5.083,3.500,2020-03-14,05:46:04,06:24:16,1.452,0
439294,01,01,SC039,,5.028,3.407,2020-03-14,05:46:11,06:25:49,1.476,0
439295,01,01,HVSC095,,5.040,3.292,2020-03-14,05:46:25,06:34:23,1.531,0
439296,01,01,SC149,,5.028,3.315,2020-03-14,05:46:32,06:16:44,1.517,0
439297,01,01,SC072,,5.556,3.363,2020-03-14,05:46:36,06:22:30,1.652,0
439298,01,01,SC188,,5.046,3.409,2020-03-14,05:46:41,06:27:13,1.480,0
439299,01,01,SC313,,4.968,3.359,2020-03-14,05:46:51,06:16:59,1.479,0
439300,01,01,SC148,,5.049,3.344,2020-03-14,05:46:59,06:25:30,1.510,0
439301,01,01,SC659,,5.064,3.352,2020-03-14,05:47:04,06:20:03,1.511,0
439302,01,01,SC028,,5.061,3.245,2020-03-14,05:47:37,06:36:31,1.560,0
439303,01,01,SC145,,5.006,3.423,2020-03-14,05:47:43,06:24:56,1.462,0
439304,04,04,SC602,,3.016,2.180,2020-03-14,05:47:45,06:43:48,1.383,0
439305,01,01,SC073,,5.046,3.454,2020-03-14,05:47:48,06:17:55,1.461,0
439306,01,01,SC225,,5.014,3.449,2020-03-14,05:47:54,06:24:45,1.454,0
439307,01,01,SC033,,5.060,3.445,2020-03-14,05:48:12,06:25:23,1.469,0
439308,01,01,SC038,,5.038,3.395,2020-03-14,05:48:22,06:19:53,1.484,0
439309,01,01,SC120,,5.071,3.319,2020-03-14,05:48:34,06:25:17,1.528,0
439310,01,01,XKII_007,,5.083,3.462,2020-03-14,05:48:40,06:16:53,1.468,0
439311,01,01,SC527,,5.040,3.445,2020-03-14,05:49:14,06:39:31,1.463,0
439312,01,01,SC140,,5.051,3.431,2020-03-14,05:50:57,06:08:48,1.472,0
439313,01,01,SC185,,5.059,3.270,2020-03-14,05:51:37,06:23:48,1.547,0
439314,01,01,SC186,,5.014,3.343,2020-03-14,05:51:46,06:23:54,1.500,0
439315,01,01,SC358,,5.057,3.502,2020-03-14,05:52:06,06:21:25,1.444,0
439316,04,04,HVSC024,,3.068,2.196,2020-03-14,05:52:10,06:34:04,1.397,0
439317,01,01,SC524,,5.038,3.389,2020-03-14,05:52:23,06:52:24,1.487,0
439318,01,01,SC213,,5.094,3.453,2020-03-14,05:52:28,06:43:30,1.475,0
439319,01,01,HVSC008,,5.050,3.405,2020-03-14,05:52:34,06:23:42,1.483,0
439320,01,01,SC030,,5.115,3.454,2020-03-14,05:52:43,06:23:05,1.481,0
439321,01,01,HVSC017,,5.045,3.220,2020-03-14,05:52:59,06:26:04,1.567,0
439322,01,01,SC139,,5.032,3.432,2020-03-14,05:53:15,06:27:45,1.466,0
439323,01,01,SC012,,5.050,3.346,2020-03-14,05:53:20,06:36:39,1.509,0
439324,01,01,HVSC036,,5.065,3.478,2020-03-14,05:53:33,06:20:56,1.456,0
439325,01,01,SC607,,5.093,3.411,2020-03-14,05:53:46,06:37:51,1.493,0
439326,01,01,BK027,,5.020,3.318,2020-03-14,05:53:49,06:37:44,1.513,0
439327,01,01,SC076,,5.059,3.317,2020-03-14,05:54:07,06:37:25,1.525,0
439328,04,01,SC006,,3.041,3.518,2020-03-14,05:54:10,06:39:13,.864,0
439329,01,01,HVSC034,,5.083,3.366,2020-03-14,05:54:11,06:38:27,1.510,0
439330,01,01,HVSC103,,5.043,3.330,2020-03-14,05:54:24,06:36:51,1.514,0
439331,01,01,HVSC105,,5.268,3.432,2020-03-14,05:54:29,06:28:49,1.535,0
439332,01,01,HVSC106,,5.826,3.351,2020-03-14,05:54:34,06:37:33,1.739,0
439333,01,01,SC662,,5.071,3.388,2020-03-14,05:54:39,06:37:05,1.497,0
439334,01,01,SC014,,5.011,3.441,2020-03-14,05:54:44,06:24:36,1.456,0
439335,01,01,SC064,,5.037,3.319,2020-03-14,05:54:50,06:25:57,1.518,0
439336,01,01,SC070,,5.073,3.398,2020-03-14,05:54:57,06:56:14,1.493,0
439337,01,01,SC342,,5.022,3.423,2020-03-14,05:55:06,06:16:39,1.467,0
439338,01,01,HVSC037,,5.045,3.411,2020-03-14,05:55:13,06:16:33,1.479,0
439339,01,01,TPII_168,,5.054,3.378,2020-03-14,05:55:19,06:54:15,1.496,0
439340,01,01,SC131,,5.012,3.409,2020-03-14,05:55:24,06:36:58,1.470,0
439341,01,01,SC502,,5.036,3.552,2020-03-14,05:55:28,06:16:06,1.418,0
439342,01,01,SC133,,5.023,3.502,2020-03-14,05:55:32,06:25:03,1.434,0
439343,01,01,SC011,,5.558,3.323,2020-03-14,05:56:02,06:29:03,1.673,0
439344,01,01,SC054,,5.028,3.363,2020-03-14,05:56:38,06:19:26,1.495,0
439345,01,01,SC108,,5.087,3.333,2020-03-14,05:56:45,06:28:42,1.526,0
439346,01,01,SC084,,5.050,3.336,2020-03-14,05:56:49,06:21:47,1.514,0
439347,01,01,HVSC011,,5.058,3.278,2020-03-14,05:57:05,06:38:33,1.543,0
439348,01,01,SC627,,5.032,3.429,2020-03-14,05:57:21,06:39:07,1.467,0
439349,01,01,SC662,,4.955,3.347,2020-03-14,05:57:36,06:38:19,1.480,0
439350,01,01,SC132,,5.137,3.331,2020-03-14,05:57:44,06:37:13,1.542,0
439351,01,01,SC040,,5.066,3.362,2020-03-14,05:57:56,06:25:09,1.507,0
439352,01,01,SC095,,5.043,3.426,2020-03-14,05:58:03,06:37:38,1.472,0
439353,01,01,SC116,,5.056,3.374,2020-03-14,05:58:15,06:29:14,1.499,0
439354,01,01,SC117,,5.063,3.436,2020-03-14,05:58:20,06:29:20,1.474,0
439355,01,01,SC015,,5.029,3.322,2020-03-14,05:58:33,06:38:14,1.514,0
439356,01,01,HVSC094,,5.069,3.371,2020-03-14,05:58:37,06:28:36,1.504,0
439357,01,01,TPI_239,,5.044,3.455,2020-03-14,05:58:59,07:04:12,1.460,0
439358,01,01,SC096,,5.037,3.354,2020-03-14,05:59:06,06:29:08,1.502,0
439359,01,01,SC520,,5.305,3.294,2020-03-14,05:59:17,06:36:16,1.611,0
439360,01,01,SC094,,5.036,3.440,2020-03-14,05:59:31,06:38:44,1.464,0
439361,01,01,SC616,,5.033,3.418,2020-03-14,05:59:39,06:39:19,1.472,0
439362,01,01,SC110,,5.018,3.324,2020-03-14,05:59:49,06:23:21,1.510,0
439363,01,01,SC031,,5.079,3.409,2020-03-14,05:59:54,06:36:02,1.490,0
439364,01,01,BK014,,5.024,3.427,2020-03-14,05:59:58,06:27:25,1.466,0
439365,01,01,HVSC054,,5.560,3.469,2020-03-14,06:00:03,06:27:50,1.603,0
439366,01,01,SC030,,5.035,3.487,2020-03-14,06:00:11,07:05:02,1.444,0
439367,01,01,SC122,,5.015,3.390,2020-03-14,06:00:23,06:26:18,1.479,0
439368,01,01,SC032,,5.068,3.610,2020-03-14,06:00:27,06:21:12,1.404,0
439369,01,01,HVSC035,,5.001,3.377,2020-03-14,06:00:40,06:35:05,1.481,0
439370,01,01,SC126,,5.073,3.425,2020-03-14,06:00:47,06:23:12,1.481,0
439371,01,01,SC137,,5.025,3.296,2020-03-14,06:01:01,06:35:30,1.525,0
439372,01,01,SC140,,5.032,3.484,2020-03-14,06:01:35,06:27:31,1.444,0
439373,01,01,SC049,,5.092,3.526,2020-03-14,06:01:40,06:22:38,1.444,0
439374,01,01,SC119,,5.072,3.501,2020-03-14,06:01:44,06:26:37,1.449,0
