ID,PRODUCT_ID_IN,PRODUCT_ID_OUT,WORKER_ID,BASKET_ID,WEIGHT_IN,WEIGHT_OUT,DATE,TIME_IN,TIME_OUT,DINH_MUC,TRANGTHAI
439675,01,09,SC126,,5.015,3.174,2020-03-14,07:09:39,07:27:14,1.580,0
439676,01,09,SC520,,5.073,3.178,2020-03-14,07:09:43,07:27:10,1.596,0
439677,01,09,SC032,,5.067,4.123,2020-03-14,07:09:53,07:18:56,1.229,0
439678,01,09,HVSC035,,5.042,2.392,2020-03-14,07:09:57,07:29:41,2.108,0
439679,04,04,SC166,,3.077,2.146,2020-03-14,07:09:58,07:46:12,1.434,0
439680,01,09,SC122,,5.038,2.867,2020-03-14,07:10:04,07:30:38,1.757,0
439681,01,09,BK014,,5.081,2.971,2020-03-14,07:10:19,07:30:44,1.710,0
439682,03,03,SC065,,3.075,2.058,2020-03-14,07:10:29,07:46:45,1.494,0
439683,01,01,HVSC027,,5.490,3.437,2020-03-14,07:10:32,07:38:25,1.597,0
439684,01,09,SC110,,5.043,3.653,2020-03-14,07:10:46,07:17:48,1.381,0
439685,01,09,SC031,,5.057,3.285,2020-03-14,07:10:50,07:17:53,1.539,0
439686,01,03,SC616,,5.046,2.115,2020-03-14,07:10:56,07:46:38,2.386,0
439687,01,01,SC094,,5.067,3.377,2020-03-14,07:11:02,07:20:50,1.500,0
439688,01,01,HVSC054,,5.020,3.431,2020-03-14,07:11:11,07:38:31,1.463,0
439689,01,01,HVSC012,,5.075,3.466,2020-03-14,07:11:20,07:49:07,1.464,0
439690,01,01,SC104,,5.027,3.305,2020-03-14,07:11:33,07:40:02,1.521,0
439691,01,01,SC137,,4.997,3.321,2020-03-14,07:11:37,07:41:23,1.505,0
439692,01,09,SC049,,5.050,3.458,2020-03-14,07:11:56,07:18:35,1.460,0
439693,01,09,SC119,,5.020,3.629,2020-03-14,07:12:01,07:16:15,1.383,0
439694,01,09,HVSC101,,5.052,2.859,2020-03-14,07:12:17,07:30:19,1.767,0
439695,01,09,BK020,,5.006,2.926,2020-03-14,07:12:29,07:32:00,1.711,0
439696,01,09,HVSC036,,5.053,3.075,2020-03-14,07:12:50,07:28:02,1.643,0
439697,01,01,SC091,,5.041,3.255,2020-03-14,07:13:03,07:49:22,1.549,0
439698,01,01,SC027,,5.024,3.494,2020-03-14,07:13:16,07:52:29,1.438,0
